"iteration","lm_4layers_tense_232-232 - _step","lm_4layers_tense_232-232 - _step__MIN","lm_4layers_tense_232-232 - _step__MAX","lm_4layers_tense_232-232 - val_aux","lm_4layers_tense_232-232 - val_aux__MIN","lm_4layers_tense_232-232 - val_aux__MAX","lm_4layers_tense_232-232 - test_aux","lm_4layers_tense_232-232 - test_aux__MIN","lm_4layers_tense_232-232 - test_aux__MAX","lm_4layers_tense_222-222 - _step","lm_4layers_tense_222-222 - _step__MIN","lm_4layers_tense_222-222 - _step__MAX","lm_4layers_tense_222-222 - val_aux","lm_4layers_tense_222-222 - val_aux__MIN","lm_4layers_tense_222-222 - val_aux__MAX","lm_4layers_tense_222-222 - test_aux","lm_4layers_tense_222-222 - test_aux__MIN","lm_4layers_tense_222-222 - test_aux__MAX","lm_4layers_tense_212-212 - _step","lm_4layers_tense_212-212 - _step__MIN","lm_4layers_tense_212-212 - _step__MAX","lm_4layers_tense_212-212 - val_aux","lm_4layers_tense_212-212 - val_aux__MIN","lm_4layers_tense_212-212 - val_aux__MAX","lm_4layers_tense_212-212 - test_aux","lm_4layers_tense_212-212 - test_aux__MIN","lm_4layers_tense_212-212 - test_aux__MAX","lm_4layers_tense_202-202 - _step","lm_4layers_tense_202-202 - _step__MIN","lm_4layers_tense_202-202 - _step__MAX","lm_4layers_tense_202-202 - val_aux","lm_4layers_tense_202-202 - val_aux__MIN","lm_4layers_tense_202-202 - val_aux__MAX","lm_4layers_tense_202-202 - test_aux","lm_4layers_tense_202-202 - test_aux__MIN","lm_4layers_tense_202-202 - test_aux__MAX","lm_4layers_tense_192-192 - _step","lm_4layers_tense_192-192 - _step__MIN","lm_4layers_tense_192-192 - _step__MAX","lm_4layers_tense_192-192 - val_aux","lm_4layers_tense_192-192 - val_aux__MIN","lm_4layers_tense_192-192 - val_aux__MAX","lm_4layers_tense_192-192 - test_aux","lm_4layers_tense_192-192 - test_aux__MIN","lm_4layers_tense_192-192 - test_aux__MAX","lm_4layers_tense_182-182 - _step","lm_4layers_tense_182-182 - _step__MIN","lm_4layers_tense_182-182 - _step__MAX","lm_4layers_tense_182-182 - val_aux","lm_4layers_tense_182-182 - val_aux__MIN","lm_4layers_tense_182-182 - val_aux__MAX","lm_4layers_tense_182-182 - test_aux","lm_4layers_tense_182-182 - test_aux__MIN","lm_4layers_tense_182-182 - test_aux__MAX","lm_4layers_tense_152-152 - _step","lm_4layers_tense_152-152 - _step__MIN","lm_4layers_tense_152-152 - _step__MAX","lm_4layers_tense_152-152 - val_aux","lm_4layers_tense_152-152 - val_aux__MIN","lm_4layers_tense_152-152 - val_aux__MAX","lm_4layers_tense_152-152 - test_aux","lm_4layers_tense_152-152 - test_aux__MIN","lm_4layers_tense_152-152 - test_aux__MAX","lm_4layers_tense_142-142 - _step","lm_4layers_tense_142-142 - _step__MIN","lm_4layers_tense_142-142 - _step__MAX","lm_4layers_tense_142-142 - val_aux","lm_4layers_tense_142-142 - val_aux__MIN","lm_4layers_tense_142-142 - val_aux__MAX","lm_4layers_tense_142-142 - test_aux","lm_4layers_tense_142-142 - test_aux__MIN","lm_4layers_tense_142-142 - test_aux__MAX","lm_4layers_tense_172-172 - _step","lm_4layers_tense_172-172 - _step__MIN","lm_4layers_tense_172-172 - _step__MAX","lm_4layers_tense_172-172 - val_aux","lm_4layers_tense_172-172 - val_aux__MIN","lm_4layers_tense_172-172 - val_aux__MAX","lm_4layers_tense_172-172 - test_aux","lm_4layers_tense_172-172 - test_aux__MIN","lm_4layers_tense_172-172 - test_aux__MAX","lm_4layers_tense_132-132 - _step","lm_4layers_tense_132-132 - _step__MIN","lm_4layers_tense_132-132 - _step__MAX","lm_4layers_tense_132-132 - val_aux","lm_4layers_tense_132-132 - val_aux__MIN","lm_4layers_tense_132-132 - val_aux__MAX","lm_4layers_tense_132-132 - test_aux","lm_4layers_tense_132-132 - test_aux__MIN","lm_4layers_tense_132-132 - test_aux__MAX","lm_4layers_tense_162-162 - _step","lm_4layers_tense_162-162 - _step__MIN","lm_4layers_tense_162-162 - _step__MAX","lm_4layers_tense_162-162 - val_aux","lm_4layers_tense_162-162 - val_aux__MIN","lm_4layers_tense_162-162 - val_aux__MAX","lm_4layers_tense_162-162 - test_aux","lm_4layers_tense_162-162 - test_aux__MIN","lm_4layers_tense_162-162 - test_aux__MAX","lm_4layers_tense_112-112 - _step","lm_4layers_tense_112-112 - _step__MIN","lm_4layers_tense_112-112 - _step__MAX","lm_4layers_tense_112-112 - val_aux","lm_4layers_tense_112-112 - val_aux__MIN","lm_4layers_tense_112-112 - val_aux__MAX","lm_4layers_tense_112-112 - test_aux","lm_4layers_tense_112-112 - test_aux__MIN","lm_4layers_tense_112-112 - test_aux__MAX","lm_4layers_tense_102-102 - _step","lm_4layers_tense_102-102 - _step__MIN","lm_4layers_tense_102-102 - _step__MAX","lm_4layers_tense_102-102 - val_aux","lm_4layers_tense_102-102 - val_aux__MIN","lm_4layers_tense_102-102 - val_aux__MAX","lm_4layers_tense_102-102 - test_aux","lm_4layers_tense_102-102 - test_aux__MIN","lm_4layers_tense_102-102 - test_aux__MAX","lm_4layers_tense_122-122 - _step","lm_4layers_tense_122-122 - _step__MIN","lm_4layers_tense_122-122 - _step__MAX","lm_4layers_tense_122-122 - val_aux","lm_4layers_tense_122-122 - val_aux__MIN","lm_4layers_tense_122-122 - val_aux__MAX","lm_4layers_tense_122-122 - test_aux","lm_4layers_tense_122-122 - test_aux__MIN","lm_4layers_tense_122-122 - test_aux__MAX","lm_4layers_tense_42-42 - _step","lm_4layers_tense_42-42 - _step__MIN","lm_4layers_tense_42-42 - _step__MAX","lm_4layers_tense_42-42 - val_aux","lm_4layers_tense_42-42 - val_aux__MIN","lm_4layers_tense_42-42 - val_aux__MAX","lm_4layers_tense_42-42 - test_aux","lm_4layers_tense_42-42 - test_aux__MIN","lm_4layers_tense_42-42 - test_aux__MAX","lm_4layers_tense_62-62 - _step","lm_4layers_tense_62-62 - _step__MIN","lm_4layers_tense_62-62 - _step__MAX","lm_4layers_tense_62-62 - val_aux","lm_4layers_tense_62-62 - val_aux__MIN","lm_4layers_tense_62-62 - val_aux__MAX","lm_4layers_tense_62-62 - test_aux","lm_4layers_tense_62-62 - test_aux__MIN","lm_4layers_tense_62-62 - test_aux__MAX","lm_4layers_tense_82-82 - _step","lm_4layers_tense_82-82 - _step__MIN","lm_4layers_tense_82-82 - _step__MAX","lm_4layers_tense_82-82 - val_aux","lm_4layers_tense_82-82 - val_aux__MIN","lm_4layers_tense_82-82 - val_aux__MAX","lm_4layers_tense_82-82 - test_aux","lm_4layers_tense_82-82 - test_aux__MIN","lm_4layers_tense_82-82 - test_aux__MAX","lm_4layers_tense_52-52 - _step","lm_4layers_tense_52-52 - _step__MIN","lm_4layers_tense_52-52 - _step__MAX","lm_4layers_tense_52-52 - val_aux","lm_4layers_tense_52-52 - val_aux__MIN","lm_4layers_tense_52-52 - val_aux__MAX","lm_4layers_tense_52-52 - test_aux","lm_4layers_tense_52-52 - test_aux__MIN","lm_4layers_tense_52-52 - test_aux__MAX","lm_4layers_tense_72-72 - _step","lm_4layers_tense_72-72 - _step__MIN","lm_4layers_tense_72-72 - _step__MAX","lm_4layers_tense_72-72 - val_aux","lm_4layers_tense_72-72 - val_aux__MIN","lm_4layers_tense_72-72 - val_aux__MAX","lm_4layers_tense_72-72 - test_aux","lm_4layers_tense_72-72 - test_aux__MIN","lm_4layers_tense_72-72 - test_aux__MAX","lm_4layers_tense_92-92 - _step","lm_4layers_tense_92-92 - _step__MIN","lm_4layers_tense_92-92 - _step__MAX","lm_4layers_tense_92-92 - val_aux","lm_4layers_tense_92-92 - val_aux__MIN","lm_4layers_tense_92-92 - val_aux__MAX","lm_4layers_tense_92-92 - test_aux","lm_4layers_tense_92-92 - test_aux__MIN","lm_4layers_tense_92-92 - test_aux__MAX"
"33000","33021","33021","33021","0.999","0.999","0.999","0.3465","0.3465","0.3465","33021","33021","33021","0.997","0.997","0.997","0.4595","0.4595","0.4595","33021","33021","33021","0.996","0.996","0.996","0.569","0.569","0.569","33021","33021","33021","0.996","0.996","0.996","0.821","0.821","0.821","33021","33021","33021","0.998","0.998","0.998","0.7975","0.7975","0.7975","33021","33021","33021","1","1","1","0.2735","0.2735","0.2735","33021","33021","33021","0.993","0.993","0.993","0.425","0.425","0.425","33021","33021","33021","0.995","0.995","0.995","0.318","0.318","0.318","33021","33021","33021","0.993","0.993","0.993","0.8225","0.8225","0.8225","33021","33021","33021","0.994","0.994","0.994","0.891","0.891","0.891","33021","33021","33021","0.996","0.996","0.996","0.796","0.796","0.796","33021","33021","33021","0.996","0.996","0.996","0.1615","0.1615","0.1615","33021","33021","33021","0.994","0.994","0.994","0.6815","0.6815","0.6815","33021","33021","33021","0.997","0.997","0.997","0.566","0.566","0.566","33021","33021","33021","0.994","0.994","0.994","0.8765","0.8765","0.8765","33021","33021","33021","0.996","0.996","0.996","0.4825","0.4825","0.4825","33021","33021","33021","0.997","0.997","0.997","0.4615","0.4615","0.4615","33021","33021","33021","0.992","0.992","0.992","0.8755","0.8755","0.8755","33021","33021","33021","0.997","0.997","0.997","0.977","0.977","0.977","33021","33021","33021","0.998","0.998","0.998","0.5965","0.5965","0.5965"
"36000","36023","36023","36023","0.996","0.996","0.996","0.7515","0.7515","0.7515","36023","36023","36023","0.997","0.997","0.997","0.9115","0.9115","0.9115","36023","36023","36023","0.996","0.996","0.996","0.4675","0.4675","0.4675","36023","36023","36023","0.996","0.996","0.996","0.918","0.918","0.918","36023","36023","36023","0.993","0.993","0.993","0.735","0.735","0.735","36023","36023","36023","0.995","0.995","0.995","0.442","0.442","0.442","36023","36023","36023","0.992","0.992","0.992","0.502","0.502","0.502","36023","36023","36023","0.995","0.995","0.995","0.6905","0.6905","0.6905","36023","36023","36023","1","1","1","0.632","0.632","0.632","36023","36023","36023","0.994","0.994","0.994","0.89","0.89","0.89","36023","36023","36023","0.998","0.998","0.998","0.81","0.81","0.81","36023","36023","36023","0.997","0.997","0.997","0.3555","0.3555","0.3555","36023","36023","36023","0.999","0.999","0.999","0.7785","0.7785","0.7785","36023","36023","36023","0.992","0.992","0.992","0.3495","0.3495","0.3495","36023","36023","36023","0.999","0.999","0.999","0.899","0.899","0.899","36023","36023","36023","0.999","0.999","0.999","0.466","0.466","0.466","36023","36023","36023","0.999","0.999","0.999","0.643","0.643","0.643","36023","36023","36023","0.996","0.996","0.996","0.8185","0.8185","0.8185","36023","36023","36023","0.999","0.999","0.999","0.74","0.74","0.74","36023","36023","36023","0.999","0.999","0.999","0.3905","0.3905","0.3905"
"39000","39025","39025","39025","0.996","0.996","0.996","0.8795","0.8795","0.8795","39025","39025","39025","0.998","0.998","0.998","0.9225","0.9225","0.9225","39025","39025","39025","0.996","0.996","0.996","0.806","0.806","0.806","39025","39025","39025","0.998","0.998","0.998","0.953","0.953","0.953","39025","39025","39025","0.993","0.993","0.993","0.972","0.972","0.972","39025","39025","39025","1","1","1","0.4285","0.4285","0.4285","39025","39025","39025","0.995","0.995","0.995","0.597","0.597","0.597","39025","39025","39025","0.996","0.996","0.996","0.5845","0.5845","0.5845","39025","39025","39025","0.996","0.996","0.996","0.72","0.72","0.72","39025","39025","39025","0.998","0.998","0.998","0.819","0.819","0.819","39025","39025","39025","0.993","0.993","0.993","0.7275","0.7275","0.7275","39025","39025","39025","0.997","0.997","0.997","0.8105","0.8105","0.8105","39025","39025","39025","0.993","0.993","0.993","0.925","0.925","0.925","39025","39025","39025","1","1","1","0.4565","0.4565","0.4565","39025","39025","39025","0.995","0.995","0.995","0.7225","0.7225","0.7225","39025","39025","39025","0.994","0.994","0.994","0.3015","0.3015","0.3015","39025","39025","39025","0.996","0.996","0.996","0.8445","0.8445","0.8445","39025","39025","39025","0.998","0.998","0.998","0.921","0.921","0.921","39025","39025","39025","1","1","1","0.5765","0.5765","0.5765","39025","39025","39025","1","1","1","0.41","0.41","0.41"
"42000","42027","42027","42027","0.998","0.998","0.998","0.492","0.492","0.492","42027","42027","42027","0.994","0.994","0.994","0.961","0.961","0.961","42027","42027","42027","0.999","0.999","0.999","0.8535","0.8535","0.8535","42027","42027","42027","0.994","0.994","0.994","0.881","0.881","0.881","42027","42027","42027","0.999","0.999","0.999","0.7045","0.7045","0.7045","42027","42027","42027","0.999","0.999","0.999","0.4035","0.4035","0.4035","42027","42027","42027","0.998","0.998","0.998","0.35","0.35","0.35","42027","42027","42027","0.998","0.998","0.998","0.47","0.47","0.47","42027","42027","42027","0.996","0.996","0.996","0.603","0.603","0.603","42027","42027","42027","0.993","0.993","0.993","0.828","0.828","0.828","42027","42027","42027","0.993","0.993","0.993","0.66","0.66","0.66","42027","42027","42027","0.999","0.999","0.999","0.5905","0.5905","0.5905","42027","42027","42027","0.999","0.999","0.999","0.7785","0.7785","0.7785","42027","42027","42027","0.997","0.997","0.997","0.394","0.394","0.394","42027","42027","42027","0.999","0.999","0.999","0.9145","0.9145","0.9145","42027","42027","42027","0.993","0.993","0.993","0.543","0.543","0.543","42027","42027","42027","0.996","0.996","0.996","0.882","0.882","0.882","42027","42027","42027","0.998","0.998","0.998","0.9265","0.9265","0.9265","42027","42027","42027","0.995","0.995","0.995","0.7755","0.7755","0.7755","42027","42027","42027","0.985","0.985","0.985","0.519","0.519","0.519"
"45000","45029","45029","45029","0.997","0.997","0.997","0.6265","0.6265","0.6265","45029","45029","45029","0.999","0.999","0.999","0.8805","0.8805","0.8805","45029","45029","45029","0.996","0.996","0.996","0.694","0.694","0.694","45029","45029","45029","0.998","0.998","0.998","0.4265","0.4265","0.4265","45029","45029","45029","0.996","0.996","0.996","0.8975","0.8975","0.8975","45029","45029","45029","0.999","0.999","0.999","0.6595","0.6595","0.6595","45029","45029","45029","0.995","0.995","0.995","0.417","0.417","0.417","45029","45029","45029","0.998","0.998","0.998","0.64","0.64","0.64","45029","45029","45029","0.999","0.999","0.999","0.761","0.761","0.761","45029","45029","45029","0.997","0.997","0.997","0.725","0.725","0.725","45029","45029","45029","0.998","0.998","0.998","0.562","0.562","0.562","45029","45029","45029","0.996","0.996","0.996","0.8125","0.8125","0.8125","45029","45029","45029","1","1","1","0.7675","0.7675","0.7675","45029","45029","45029","0.998","0.998","0.998","0.315","0.315","0.315","45029","45029","45029","1","1","1","0.908","0.908","0.908","45029","45029","45029","0.997","0.997","0.997","0.4485","0.4485","0.4485","45029","45029","45029","0.999","0.999","0.999","0.873","0.873","0.873","45029","45029","45029","0.993","0.993","0.993","0.813","0.813","0.813","45029","45029","45029","0.999","0.999","0.999","0.728","0.728","0.728","45029","45029","45029","0.999","0.999","0.999","0.912","0.912","0.912"
"48000","48031","48031","48031","0.999","0.999","0.999","0.505","0.505","0.505","48031","48031","48031","0.999","0.999","0.999","0.8325","0.8325","0.8325","48031","48031","48031","0.995","0.995","0.995","0.6135","0.6135","0.6135","48031","48031","48031","0.996","0.996","0.996","0.7245","0.7245","0.7245","48031","48031","48031","0.997","0.997","0.997","0.6825","0.6825","0.6825","48031","48031","48031","0.997","0.997","0.997","0.5445","0.5445","0.5445","48031","48031","48031","0.997","0.997","0.997","0.5695","0.5695","0.5695","48031","48031","48031","1","1","1","0.5605","0.5605","0.5605","48031","48031","48031","1","1","1","0.5835","0.5835","0.5835","48031","48031","48031","0.997","0.997","0.997","0.739","0.739","0.739","48031","48031","48031","0.999","0.999","0.999","0.5035","0.5035","0.5035","48031","48031","48031","0.994","0.994","0.994","0.26","0.26","0.26","48031","48031","48031","0.993","0.993","0.993","0.623","0.623","0.623","48031","48031","48031","0.99","0.99","0.99","0.501","0.501","0.501","48031","48031","48031","0.995","0.995","0.995","0.72","0.72","0.72","48031","48031","48031","0.995","0.995","0.995","0.3455","0.3455","0.3455","48031","48031","48031","0.999","0.999","0.999","0.7995","0.7995","0.7995","48031","48031","48031","0.99","0.99","0.99","0.716","0.716","0.716","48031","48031","48031","0.997","0.997","0.997","0.707","0.707","0.707","48031","48031","48031","0.996","0.996","0.996","0.6635","0.6635","0.6635"
"51000","51033","51033","51033","0.995","0.995","0.995","0.3785","0.3785","0.3785","51033","51033","51033","0.999","0.999","0.999","0.959","0.959","0.959","51033","51033","51033","0.997","0.997","0.997","0.4345","0.4345","0.4345","51033","51033","51033","0.996","0.996","0.996","0.939","0.939","0.939","51033","51033","51033","0.997","0.997","0.997","0.69","0.69","0.69","51033","51033","51033","0.995","0.995","0.995","0.786","0.786","0.786","51033","51033","51033","0.994","0.994","0.994","0.454","0.454","0.454","51033","51033","51033","0.999","0.999","0.999","0.4385","0.4385","0.4385","51033","51033","51033","1","1","1","0.6585","0.6585","0.6585","51033","51033","51033","0.998","0.998","0.998","0.707","0.707","0.707","51033","51033","51033","0.999","0.999","0.999","0.52","0.52","0.52","51033","51033","51033","0.993","0.993","0.993","0.414","0.414","0.414","51033","51033","51033","0.999","0.999","0.999","0.5125","0.5125","0.5125","51033","51033","51033","1","1","1","0.4025","0.4025","0.4025","51033","51033","51033","1","1","1","0.942","0.942","0.942","51033","51033","51033","1","1","1","0.2085","0.2085","0.2085","51033","51033","51033","0.997","0.997","0.997","0.7555","0.7555","0.7555","51033","51033","51033","0.994","0.994","0.994","0.863","0.863","0.863","51033","51033","51033","0.998","0.998","0.998","0.6945","0.6945","0.6945","51033","51033","51033","0.997","0.997","0.997","0.938","0.938","0.938"
"54000","54035","54035","54035","0.996","0.996","0.996","0.3325","0.3325","0.3325","54035","54035","54035","0.995","0.995","0.995","0.915","0.915","0.915","54035","54035","54035","0.997","0.997","0.997","0.782","0.782","0.782","54035","54035","54035","1","1","1","0.8375","0.8375","0.8375","54035","54035","54035","0.99","0.99","0.99","0.7815","0.7815","0.7815","54035","54035","54035","0.997","0.997","0.997","0.754","0.754","0.754","54035","54035","54035","0.997","0.997","0.997","0.462","0.462","0.462","54035","54035","54035","0.999","0.999","0.999","0.6035","0.6035","0.6035","54035","54035","54035","0.998","0.998","0.998","0.646","0.646","0.646","54035","54035","54035","0.998","0.998","0.998","0.9375","0.9375","0.9375","54035","54035","54035","0.998","0.998","0.998","0.9035","0.9035","0.9035","54035","54035","54035","0.992","0.992","0.992","0.834","0.834","0.834","54035","54035","54035","0.998","0.998","0.998","0.8685","0.8685","0.8685","54035","54035","54035","0.996","0.996","0.996","0.315","0.315","0.315","54035","54035","54035","0.999","0.999","0.999","0.804","0.804","0.804","54035","54035","54035","0.99","0.99","0.99","0.122","0.122","0.122","54035","54035","54035","1","1","1","0.545","0.545","0.545","54035","54035","54035","0.999","0.999","0.999","0.8585","0.8585","0.8585","54035","54035","54035","0.999","0.999","0.999","0.899","0.899","0.899","54035","54035","54035","0.997","0.997","0.997","0.6555","0.6555","0.6555"
"57000","57037","57037","57037","0.994","0.994","0.994","0.1265","0.1265","0.1265","57037","57037","57037","0.999","0.999","0.999","0.9845","0.9845","0.9845","57037","57037","57037","0.999","0.999","0.999","0.8235","0.8235","0.8235","57037","57037","57037","0.999","0.999","0.999","0.8495","0.8495","0.8495","57037","57037","57037","0.998","0.998","0.998","0.922","0.922","0.922","57037","57037","57037","0.995","0.995","0.995","0.837","0.837","0.837","57037","57037","57037","0.995","0.995","0.995","0.4955","0.4955","0.4955","57037","57037","57037","0.998","0.998","0.998","0.734","0.734","0.734","57037","57037","57037","0.998","0.998","0.998","0.934","0.934","0.934","57037","57037","57037","0.999","0.999","0.999","0.6825","0.6825","0.6825","57037","57037","57037","0.997","0.997","0.997","0.858","0.858","0.858","57037","57037","57037","0.998","0.998","0.998","0.9335","0.9335","0.9335","57037","57037","57037","0.999","0.999","0.999","0.5695","0.5695","0.5695","57037","57037","57037","0.996","0.996","0.996","0.5195","0.5195","0.5195","57037","57037","57037","0.998","0.998","0.998","0.963","0.963","0.963","57037","57037","57037","0.999","0.999","0.999","0.192","0.192","0.192","57037","57037","57037","1","1","1","0.5405","0.5405","0.5405","57037","57037","57037","0.996","0.996","0.996","0.714","0.714","0.714","57037","57037","57037","0.998","0.998","0.998","0.9515","0.9515","0.9515","57037","57037","57037","0.996","0.996","0.996","0.591","0.591","0.591"
"60000","60039","60039","60039","0.993","0.993","0.993","0.704","0.704","0.704","60039","60039","60039","0.996","0.996","0.996","0.971","0.971","0.971","60039","60039","60039","0.996","0.996","0.996","0.739","0.739","0.739","60039","60039","60039","0.998","0.998","0.998","0.91","0.91","0.91","60039","60039","60039","0.999","0.999","0.999","0.851","0.851","0.851","60039","60039","60039","0.994","0.994","0.994","0.536","0.536","0.536","60039","60039","60039","0.993","0.993","0.993","0.5635","0.5635","0.5635","60039","60039","60039","0.999","0.999","0.999","0.731","0.731","0.731","60039","60039","60039","1","1","1","0.8885","0.8885","0.8885","60039","60039","60039","0.996","0.996","0.996","0.7275","0.7275","0.7275","60039","60039","60039","0.998","0.998","0.998","0.8","0.8","0.8","60039","60039","60039","1","1","1","0.75","0.75","0.75","60039","60039","60039","0.996","0.996","0.996","0.7355","0.7355","0.7355","60039","60039","60039","0.993","0.993","0.993","0.569","0.569","0.569","60039","60039","60039","0.997","0.997","0.997","0.97","0.97","0.97","60039","60039","60039","0.997","0.997","0.997","0.611","0.611","0.611","60039","60039","60039","0.985","0.985","0.985","0.905","0.905","0.905","60039","60039","60039","0.998","0.998","0.998","0.9835","0.9835","0.9835","60039","60039","60039","0.999","0.999","0.999","0.819","0.819","0.819","60039","60039","60039","0.997","0.997","0.997","0.526","0.526","0.526"
"63000","63041","63041","63041","0.998","0.998","0.998","0.3825","0.3825","0.3825","63041","63041","63041","0.998","0.998","0.998","0.5955","0.5955","0.5955","63041","63041","63041","0.998","0.998","0.998","0.9555","0.9555","0.9555","63041","63041","63041","1","1","1","0.9715","0.9715","0.9715","63041","63041","63041","0.994","0.994","0.994","0.5305","0.5305","0.5305","63041","63041","63041","0.997","0.997","0.997","0.6655","0.6655","0.6655","63041","63041","63041","0.99","0.99","0.99","0.61","0.61","0.61","63041","63041","63041","0.994","0.994","0.994","0.8865","0.8865","0.8865","63041","63041","63041","0.997","0.997","0.997","0.975","0.975","0.975","63041","63041","63041","0.993","0.993","0.993","0.6815","0.6815","0.6815","63041","63041","63041","0.997","0.997","0.997","0.8315","0.8315","0.8315","63041","63041","63041","0.997","0.997","0.997","0.932","0.932","0.932","63041","63041","63041","0.997","0.997","0.997","0.6715","0.6715","0.6715","63041","63041","63041","0.998","0.998","0.998","0.5015","0.5015","0.5015","63041","63041","63041","1","1","1","0.9385","0.9385","0.9385","63041","63041","63041","0.997","0.997","0.997","0.366","0.366","0.366","63041","63041","63041","0.991","0.991","0.991","0.6865","0.6865","0.6865","63041","63041","63041","0.998","0.998","0.998","0.992","0.992","0.992","63041","63041","63041","0.999","0.999","0.999","0.8895","0.8895","0.8895","63041","63041","63041","1","1","1","0.7755","0.7755","0.7755"
"66000","66043","66043","66043","0.998","0.998","0.998","0.3555","0.3555","0.3555","66043","66043","66043","1","1","1","0.8415","0.8415","0.8415","66043","66043","66043","0.998","0.998","0.998","0.92","0.92","0.92","66043","66043","66043","0.999","0.999","0.999","0.88","0.88","0.88","66043","66043","66043","0.995","0.995","0.995","0.622","0.622","0.622","66043","66043","66043","0.999","0.999","0.999","0.3145","0.3145","0.3145","66043","66043","66043","0.995","0.995","0.995","0.5725","0.5725","0.5725","66043","66043","66043","1","1","1","0.625","0.625","0.625","66043","66043","66043","0.997","0.997","0.997","0.744","0.744","0.744","66043","66043","66043","0.997","0.997","0.997","0.8245","0.8245","0.8245","66043","66043","66043","0.998","0.998","0.998","0.879","0.879","0.879","66043","66043","66043","0.99","0.99","0.99","0.839","0.839","0.839","66043","66043","66043","0.998","0.998","0.998","0.8235","0.8235","0.8235","66043","66043","66043","0.998","0.998","0.998","0.668","0.668","0.668","66043","66043","66043","0.991","0.991","0.991","0.9945","0.9945","0.9945","66043","66043","66043","0.996","0.996","0.996","0.1645","0.1645","0.1645","66043","66043","66043","0.999","0.999","0.999","0.5355","0.5355","0.5355","66043","66043","66043","0.998","0.998","0.998","0.976","0.976","0.976","66043","66043","66043","0.995","0.995","0.995","0.97","0.97","0.97","66043","66043","66043","0.995","0.995","0.995","0.42","0.42","0.42"
"69000","69045","69045","69045","0.999","0.999","0.999","0.1395","0.1395","0.1395","69045","69045","69045","0.999","0.999","0.999","0.8925","0.8925","0.8925","69045","69045","69045","1","1","1","0.9335","0.9335","0.9335","69045","69045","69045","1","1","1","0.86","0.86","0.86","69045","69045","69045","0.993","0.993","0.993","0.88","0.88","0.88","69045","69045","69045","0.999","0.999","0.999","0.4055","0.4055","0.4055","69045","69045","69045","0.995","0.995","0.995","0.6065","0.6065","0.6065","69045","69045","69045","0.999","0.999","0.999","0.8095","0.8095","0.8095","69045","69045","69045","1","1","1","0.771","0.771","0.771","69045","69045","69045","0.998","0.998","0.998","0.7375","0.7375","0.7375","69045","69045","69045","0.999","0.999","0.999","0.518","0.518","0.518","69045","69045","69045","1","1","1","0.6325","0.6325","0.6325","69045","69045","69045","0.993","0.993","0.993","0.5635","0.5635","0.5635","69045","69045","69045","0.996","0.996","0.996","0.646","0.646","0.646","69045","69045","69045","0.997","0.997","0.997","0.988","0.988","0.988","69045","69045","69045","0.996","0.996","0.996","0.3635","0.3635","0.3635","69045","69045","69045","0.998","0.998","0.998","0.7425","0.7425","0.7425","69045","69045","69045","1","1","1","0.9855","0.9855","0.9855","69045","69045","69045","0.992","0.992","0.992","0.699","0.699","0.699","69045","69045","69045","0.998","0.998","0.998","0.51","0.51","0.51"
"72000","72047","72047","72047","0.999","0.999","0.999","0.234","0.234","0.234","72047","72047","72047","0.991","0.991","0.991","0.7965","0.7965","0.7965","72047","72047","72047","0.997","0.997","0.997","0.96","0.96","0.96","72047","72047","72047","0.999","0.999","0.999","0.935","0.935","0.935","72047","72047","72047","1","1","1","0.706","0.706","0.706","72047","72047","72047","0.991","0.991","0.991","0.9935","0.9935","0.9935","72047","72047","72047","1","1","1","0.563","0.563","0.563","72047","72047","72047","0.997","0.997","0.997","0.765","0.765","0.765","72047","72047","72047","0.999","0.999","0.999","0.752","0.752","0.752","72047","72047","72047","0.999","0.999","0.999","0.7165","0.7165","0.7165","72047","72047","72047","0.999","0.999","0.999","0.885","0.885","0.885","72047","72047","72047","0.997","0.997","0.997","0.8005","0.8005","0.8005","72047","72047","72047","1","1","1","0.8325","0.8325","0.8325","72047","72047","72047","0.999","0.999","0.999","0.53","0.53","0.53","72047","72047","72047","1","1","1","0.9945","0.9945","0.9945","72047","72047","72047","0.994","0.994","0.994","0.4175","0.4175","0.4175","72047","72047","72047","1","1","1","0.808","0.808","0.808","72047","72047","72047","0.996","0.996","0.996","0.9535","0.9535","0.9535","72047","72047","72047","0.999","0.999","0.999","0.975","0.975","0.975","72047","72047","72047","0.999","0.999","0.999","0.4095","0.4095","0.4095"
