"iteration","lm_6layers_dyck_52-52 - _step","lm_6layers_dyck_52-52 - _step__MIN","lm_6layers_dyck_52-52 - _step__MAX","lm_6layers_dyck_52-52 - val_aux","lm_6layers_dyck_52-52 - val_aux__MIN","lm_6layers_dyck_52-52 - val_aux__MAX","lm_6layers_dyck_52-52 - test_aux","lm_6layers_dyck_52-52 - test_aux__MIN","lm_6layers_dyck_52-52 - test_aux__MAX","lm_6layers_dyck_62-62 - _step","lm_6layers_dyck_62-62 - _step__MIN","lm_6layers_dyck_62-62 - _step__MAX","lm_6layers_dyck_62-62 - val_aux","lm_6layers_dyck_62-62 - val_aux__MIN","lm_6layers_dyck_62-62 - val_aux__MAX","lm_6layers_dyck_62-62 - test_aux","lm_6layers_dyck_62-62 - test_aux__MIN","lm_6layers_dyck_62-62 - test_aux__MAX","lm_6layers_dyck_82-82 - _step","lm_6layers_dyck_82-82 - _step__MIN","lm_6layers_dyck_82-82 - _step__MAX","lm_6layers_dyck_82-82 - val_aux","lm_6layers_dyck_82-82 - val_aux__MIN","lm_6layers_dyck_82-82 - val_aux__MAX","lm_6layers_dyck_82-82 - test_aux","lm_6layers_dyck_82-82 - test_aux__MIN","lm_6layers_dyck_82-82 - test_aux__MAX","lm_6layers_dyck_72-72 - _step","lm_6layers_dyck_72-72 - _step__MIN","lm_6layers_dyck_72-72 - _step__MAX","lm_6layers_dyck_72-72 - val_aux","lm_6layers_dyck_72-72 - val_aux__MIN","lm_6layers_dyck_72-72 - val_aux__MAX","lm_6layers_dyck_72-72 - test_aux","lm_6layers_dyck_72-72 - test_aux__MIN","lm_6layers_dyck_72-72 - test_aux__MAX","lm_6layers_dyck_92-92 - _step","lm_6layers_dyck_92-92 - _step__MIN","lm_6layers_dyck_92-92 - _step__MAX","lm_6layers_dyck_92-92 - val_aux","lm_6layers_dyck_92-92 - val_aux__MIN","lm_6layers_dyck_92-92 - val_aux__MAX","lm_6layers_dyck_92-92 - test_aux","lm_6layers_dyck_92-92 - test_aux__MIN","lm_6layers_dyck_92-92 - test_aux__MAX","lm_6layers_dyck_42-42 - _step","lm_6layers_dyck_42-42 - _step__MIN","lm_6layers_dyck_42-42 - _step__MAX","lm_6layers_dyck_42-42 - val_aux","lm_6layers_dyck_42-42 - val_aux__MIN","lm_6layers_dyck_42-42 - val_aux__MAX","lm_6layers_dyck_42-42 - test_aux","lm_6layers_dyck_42-42 - test_aux__MIN","lm_6layers_dyck_42-42 - test_aux__MAX","lm_6layers_dyck_122-122 - _step","lm_6layers_dyck_122-122 - _step__MIN","lm_6layers_dyck_122-122 - _step__MAX","lm_6layers_dyck_122-122 - val_aux","lm_6layers_dyck_122-122 - val_aux__MIN","lm_6layers_dyck_122-122 - val_aux__MAX","lm_6layers_dyck_122-122 - test_aux","lm_6layers_dyck_122-122 - test_aux__MIN","lm_6layers_dyck_122-122 - test_aux__MAX","lm_6layers_dyck_112-112 - _step","lm_6layers_dyck_112-112 - _step__MIN","lm_6layers_dyck_112-112 - _step__MAX","lm_6layers_dyck_112-112 - val_aux","lm_6layers_dyck_112-112 - val_aux__MIN","lm_6layers_dyck_112-112 - val_aux__MAX","lm_6layers_dyck_112-112 - test_aux","lm_6layers_dyck_112-112 - test_aux__MIN","lm_6layers_dyck_112-112 - test_aux__MAX","lm_6layers_dyck_132-132 - _step","lm_6layers_dyck_132-132 - _step__MIN","lm_6layers_dyck_132-132 - _step__MAX","lm_6layers_dyck_132-132 - val_aux","lm_6layers_dyck_132-132 - val_aux__MIN","lm_6layers_dyck_132-132 - val_aux__MAX","lm_6layers_dyck_132-132 - test_aux","lm_6layers_dyck_132-132 - test_aux__MIN","lm_6layers_dyck_132-132 - test_aux__MAX","lm_6layers_dyck_102-102 - _step","lm_6layers_dyck_102-102 - _step__MIN","lm_6layers_dyck_102-102 - _step__MAX","lm_6layers_dyck_102-102 - val_aux","lm_6layers_dyck_102-102 - val_aux__MIN","lm_6layers_dyck_102-102 - val_aux__MAX","lm_6layers_dyck_102-102 - test_aux","lm_6layers_dyck_102-102 - test_aux__MIN","lm_6layers_dyck_102-102 - test_aux__MAX"
"110000","110021","110021","110021","1","1","1","0.9926044373375974","0.9926044373375974","0.9926044373375974","110021","110021","110021","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9940035978412952","0.9940035978412952","0.9940035978412952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110021","110021","110021","1","1","1","0.9930041974815111","0.9930041974815111","0.9930041974815111","","","","","","","","","","110021","110021","110021","1","1","1","0.992004797121727","0.992004797121727","0.992004797121727","","","","","","","","",""
"120000","120023","120023","120023","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9928043174095542","0.9928043174095542","0.9928043174095542","","","","","","","","","","120023","120023","120023","1","1","1","0.9940035978412952","0.9940035978412952","0.9940035978412952","120023","120023","120023","1","1","1","0.9950029982010794","0.9950029982010794","0.9950029982010794","","","","","","","","","","120023","120023","120023","1","1","1","0.9894063561862882","0.9894063561862882","0.9894063561862882","120023","120023","120023","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130000","130025","130025","130025","1","1","1","0.9922046771936838","0.9922046771936838","0.9922046771936838","130025","130025","130025","0.9992012779552716","0.9992012779552716","0.9992012779552716","0.9944033579852088","0.9944033579852088","0.9944033579852088","130025","130025","130025","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9956026384169498","0.9956026384169498","0.9956026384169498","","","","","","","","","","","","","","","","","","","130025","130025","130025","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203","130025","130025","130025","1","1","1","0.9944033579852088","0.9944033579852088","0.9944033579852088","130025","130025","130025","1","1","1","0.9938037177693384","0.9938037177693384","0.9938037177693384","","","","","","","","","","130025","130025","130025","1","1","1","0.9946032380571657","0.9946032380571657","0.9946032380571657"
"140000","140027","140027","140027","1","1","1","0.9948031181291225","0.9948031181291225","0.9948031181291225","","","","","","","","","","140027","140027","140027","1","1","1","0.9946032380571657","0.9946032380571657","0.9946032380571657","","","","","","","","","","140027","140027","140027","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","140027","140027","140027","1","1","1","0.9956026384169498","0.9956026384169498","0.9956026384169498","140027","140027","140027","1","1","1","0.9960023985608635","0.9960023985608635","0.9960023985608635","140027","140027","140027","1","1","1","0.9960023985608635","0.9960023985608635","0.9960023985608635","140027","140027","140027","1","1","1","0.9952028782730362","0.9952028782730362","0.9952028782730362","","","","","","","","",""
"150000","150029","150029","150029","1","1","1","0.9936038376973816","0.9936038376973816","0.9936038376973816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150029","150029","150029","1","1","1","0.9956026384169498","0.9956026384169498","0.9956026384169498","","","","","","","","","","150029","150029","150029","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","","","","","","","","","","150029","150029","150029","1","1","1","0.9950029982010794","0.9950029982010794","0.9950029982010794"
"160000","160031","160031","160031","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","160031","160031","160031","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","160031","160031","160031","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9912052768338997","0.9912052768338997","0.9912052768338997","160031","160031","160031","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","160031","160031","160031","1","1","1","0.993204077553468","0.993204077553468","0.993204077553468","","","","","","","","","","160031","160031","160031","1","1","1","0.9904057565460723","0.9904057565460723","0.9904057565460723","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170000","170033","170033","170033","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","170033","170033","170033","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","170033","170033","170033","1","1","1","0.9956026384169498","0.9956026384169498","0.9956026384169498","170033","170033","170033","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","","","","","","","","","","","","","","","","","","","170033","170033","170033","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","","","","","","","","","","","","","","","","","","","170033","170033","170033","1","1","1","0.9952028782730362","0.9952028782730362","0.9952028782730362"
"180000","","","","","","","","","","180035","180035","180035","1","1","1","0.9966020387767339","0.9966020387767339","0.9966020387767339","","","","","","","","","","180035","180035","180035","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","180035","180035","180035","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","180035","180035","180035","1","1","1","0.9950029982010794","0.9950029982010794","0.9950029982010794","180035","180035","180035","1","1","1","0.9956026384169498","0.9956026384169498","0.9956026384169498","180035","180035","180035","1","1","1","0.9944033579852088","0.9944033579852088","0.9944033579852088","","","","","","","","","","180035","180035","180035","1","1","1","0.9950029982010794","0.9950029982010794","0.9950029982010794"
"190000","190037","190037","190037","1","1","1","0.9956026384169498","0.9956026384169498","0.9956026384169498","","","","","","","","","","","","","","","","","","","190037","190037","190037","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","190037","190037","190037","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","190037","190037","190037","1","1","1","0.9966020387767339","0.9966020387767339","0.9966020387767339","190037","190037","190037","1","1","1","0.9948031181291225","0.9948031181291225","0.9948031181291225","190037","190037","190037","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9974015590645613","0.9974015590645613","0.9974015590645613","","","","","","","","","","190037","190037","190037","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203"
"200000","200039","200039","200039","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9952028782730362","0.9952028782730362","0.9952028782730362","200039","200039","200039","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9958025184889067","0.9958025184889067","0.9958025184889067","200039","200039","200039","1","1","1","0.9960023985608635","0.9960023985608635","0.9960023985608635","200039","200039","200039","1","1","1","0.9968019188486907","0.9968019188486907","0.9968019188486907","200039","200039","200039","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203","200039","200039","200039","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","200039","200039","200039","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9980011992804317","0.9980011992804317","0.9980011992804317","200039","200039","200039","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","200039","200039","200039","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","200039","200039","200039","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045"
