"iteration","lm_6layers_dyck_52-52 - _step","lm_6layers_dyck_52-52 - _step__MIN","lm_6layers_dyck_52-52 - _step__MAX","lm_6layers_dyck_52-52 - val_aux","lm_6layers_dyck_52-52 - val_aux__MIN","lm_6layers_dyck_52-52 - val_aux__MAX","lm_6layers_dyck_52-52 - test_aux","lm_6layers_dyck_52-52 - test_aux__MIN","lm_6layers_dyck_52-52 - test_aux__MAX","lm_6layers_dyck_62-62 - _step","lm_6layers_dyck_62-62 - _step__MIN","lm_6layers_dyck_62-62 - _step__MAX","lm_6layers_dyck_62-62 - val_aux","lm_6layers_dyck_62-62 - val_aux__MIN","lm_6layers_dyck_62-62 - val_aux__MAX","lm_6layers_dyck_62-62 - test_aux","lm_6layers_dyck_62-62 - test_aux__MIN","lm_6layers_dyck_62-62 - test_aux__MAX","lm_6layers_dyck_82-82 - _step","lm_6layers_dyck_82-82 - _step__MIN","lm_6layers_dyck_82-82 - _step__MAX","lm_6layers_dyck_82-82 - val_aux","lm_6layers_dyck_82-82 - val_aux__MIN","lm_6layers_dyck_82-82 - val_aux__MAX","lm_6layers_dyck_82-82 - test_aux","lm_6layers_dyck_82-82 - test_aux__MIN","lm_6layers_dyck_82-82 - test_aux__MAX","lm_6layers_dyck_72-72 - _step","lm_6layers_dyck_72-72 - _step__MIN","lm_6layers_dyck_72-72 - _step__MAX","lm_6layers_dyck_72-72 - val_aux","lm_6layers_dyck_72-72 - val_aux__MIN","lm_6layers_dyck_72-72 - val_aux__MAX","lm_6layers_dyck_72-72 - test_aux","lm_6layers_dyck_72-72 - test_aux__MIN","lm_6layers_dyck_72-72 - test_aux__MAX","lm_6layers_dyck_92-92 - _step","lm_6layers_dyck_92-92 - _step__MIN","lm_6layers_dyck_92-92 - _step__MAX","lm_6layers_dyck_92-92 - val_aux","lm_6layers_dyck_92-92 - val_aux__MIN","lm_6layers_dyck_92-92 - val_aux__MAX","lm_6layers_dyck_92-92 - test_aux","lm_6layers_dyck_92-92 - test_aux__MIN","lm_6layers_dyck_92-92 - test_aux__MAX","lm_6layers_dyck_42-42 - _step","lm_6layers_dyck_42-42 - _step__MIN","lm_6layers_dyck_42-42 - _step__MAX","lm_6layers_dyck_42-42 - val_aux","lm_6layers_dyck_42-42 - val_aux__MIN","lm_6layers_dyck_42-42 - val_aux__MAX","lm_6layers_dyck_42-42 - test_aux","lm_6layers_dyck_42-42 - test_aux__MIN","lm_6layers_dyck_42-42 - test_aux__MAX","lm_6layers_dyck_122-122 - _step","lm_6layers_dyck_122-122 - _step__MIN","lm_6layers_dyck_122-122 - _step__MAX","lm_6layers_dyck_122-122 - val_aux","lm_6layers_dyck_122-122 - val_aux__MIN","lm_6layers_dyck_122-122 - val_aux__MAX","lm_6layers_dyck_122-122 - test_aux","lm_6layers_dyck_122-122 - test_aux__MIN","lm_6layers_dyck_122-122 - test_aux__MAX","lm_6layers_dyck_112-112 - _step","lm_6layers_dyck_112-112 - _step__MIN","lm_6layers_dyck_112-112 - _step__MAX","lm_6layers_dyck_112-112 - val_aux","lm_6layers_dyck_112-112 - val_aux__MIN","lm_6layers_dyck_112-112 - val_aux__MAX","lm_6layers_dyck_112-112 - test_aux","lm_6layers_dyck_112-112 - test_aux__MIN","lm_6layers_dyck_112-112 - test_aux__MAX","lm_6layers_dyck_132-132 - _step","lm_6layers_dyck_132-132 - _step__MIN","lm_6layers_dyck_132-132 - _step__MAX","lm_6layers_dyck_132-132 - val_aux","lm_6layers_dyck_132-132 - val_aux__MIN","lm_6layers_dyck_132-132 - val_aux__MAX","lm_6layers_dyck_132-132 - test_aux","lm_6layers_dyck_132-132 - test_aux__MIN","lm_6layers_dyck_132-132 - test_aux__MAX","lm_6layers_dyck_102-102 - _step","lm_6layers_dyck_102-102 - _step__MIN","lm_6layers_dyck_102-102 - _step__MAX","lm_6layers_dyck_102-102 - val_aux","lm_6layers_dyck_102-102 - val_aux__MIN","lm_6layers_dyck_102-102 - val_aux__MAX","lm_6layers_dyck_102-102 - test_aux","lm_6layers_dyck_102-102 - test_aux__MIN","lm_6layers_dyck_102-102 - test_aux__MAX"
"210000","210041","210041","210041","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045","210041","210041","210041","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203","210041","210041","210041","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","","","","","","","","","","210041","210041","210041","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045","210041","210041","210041","1","1","1","0.9968019188486907","0.9968019188486907","0.9968019188486907","210041","210041","210041","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9984009594243454","0.9984009594243454","0.9984009594243454","","","","","","","","","","210041","210041","210041","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","210041","210041","210041","1","1","1","0.9968019188486907","0.9968019188486907","0.9968019188486907"
"220000","220043","220043","220043","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","220043","220043","220043","1","1","1","0.9966020387767339","0.9966020387767339","0.9966020387767339","220043","220043","220043","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","220043","220043","220043","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9964021587047771","0.9964021587047771","0.9964021587047771","220043","220043","220043","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","220043","220043","220043","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045","220043","220043","220043","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","220043","220043","220043","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045","220043","220043","220043","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9976014391365181","0.9976014391365181","0.9976014391365181","220043","220043","220043","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613"
"230000","230045","230045","230045","1","1","1","0.9968019188486907","0.9968019188486907","0.9968019188486907","230045","230045","230045","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","230045","230045","230045","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9976014391365181","0.9976014391365181","0.9976014391365181","230045","230045","230045","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","230045","230045","230045","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","230045","230045","230045","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","230045","230045","230045","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","","","","","","","","","","230045","230045","230045","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","230045","230045","230045","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9966020387767339","0.9966020387767339","0.9966020387767339"
"240000","","","","","","","","","","240047","240047","240047","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","240047","240047","240047","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","240047","240047","240047","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","240047","240047","240047","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045","240047","240047","240047","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203","240047","240047","240047","1","1","1","0.9964021587047771","0.9964021587047771","0.9964021587047771","","","","","","","","","","240047","240047","240047","1","1","1","0.9966020387767339","0.9966020387767339","0.9966020387767339","240047","240047","240047","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045"
"250000","250049","250049","250049","1","1","1","0.9966020387767339","0.9966020387767339","0.9966020387767339","250049","250049","250049","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.998800719568259","0.998800719568259","0.998800719568259","250049","250049","250049","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","250049","250049","250049","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","","","","","","","","","","250049","250049","250049","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","250049","250049","250049","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","250049","250049","250049","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","","","","","","","","","","250049","250049","250049","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454"
"260000","260051","260051","260051","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","260051","260051","260051","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","","","","","","","","","","260051","260051","260051","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","260051","260051","260051","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","260051","260051","260051","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","260051","260051","260051","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","260051","260051","260051","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886"
"270000","270053","270053","270053","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","270053","270053","270053","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","270053","270053","270053","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","270053","270053","270053","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","270053","270053","270053","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","270053","270053","270053","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","","","","","","","","","","270053","270053","270053","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","","","","","","","","","","270053","270053","270053","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045"
"280000","280055","280055","280055","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","280055","280055","280055","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","","","","","","","","","","280055","280055","280055","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","280055","280055","280055","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","280055","280055","280055","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","","","","","","","","","","280055","280055","280055","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","","","","","","","","","","280055","280055","280055","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886"
"290000","","","","","","","","","","290057","290057","290057","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","","","","","","","","","","290057","290057","290057","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","290057","290057","290057","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","290057","290057","290057","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","","","","","","","","","","290057","290057","290057","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","290057","290057","290057","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749"
"300000","300059","300059","300059","1","1","1","0.9972016789926045","0.9972016789926045","0.9972016789926045","300059","300059","300059","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","","","","","","","","","","300059","300059","300059","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","300059","300059","300059","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","300059","300059","300059","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","300059","300059","300059","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","300059","300059","300059","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","300059","300059","300059","1","1","1","0.9962022786328203","0.9962022786328203","0.9962022786328203","300059","300059","300059","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181"
"310000","310061","310061","310061","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","310061","310061","310061","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","310061","310061","310061","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","310061","310061","310061","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","310061","310061","310061","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","310061","310061","310061","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","310061","310061","310061","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","310061","310061","310061","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","","","","","","","","","","310061","310061","310061","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259"
"320000","","","","","","","","","","320063","320063","320063","1","1","1","0.9970017989206477","0.9970017989206477","0.9970017989206477","320063","320063","320063","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","320063","320063","320063","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","320063","320063","320063","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","","","","","","","","","","320063","320063","320063","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","320063","320063","320063","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","320063","320063","320063","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","320063","320063","320063","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613"
"330000","330065","330065","330065","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","330065","330065","330065","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","330065","330065","330065","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","330065","330065","330065","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","330065","330065","330065","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","330065","330065","330065","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","330065","330065","330065","1","1","1","0.9974015590645613","0.9974015590645613","0.9974015590645613","","","","","","","","","","330065","330065","330065","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","330065","330065","330065","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022"
"340000","340067","340067","340067","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","340067","340067","340067","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","340067","340067","340067","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","","","","","","","","","","340067","340067","340067","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","","","","","","","","","","340067","340067","340067","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","340067","340067","340067","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","340067","340067","340067","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","340067","340067","340067","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159"
"350000","350069","350069","350069","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","350069","350069","350069","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","350069","350069","350069","0.9994009584664537","0.9994009584664537","0.9994009584664537","0.9992004797121727","0.9992004797121727","0.9992004797121727","350069","350069","350069","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","350069","350069","350069","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","350069","350069","350069","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","350069","350069","350069","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9984009594243454","0.9984009594243454","0.9984009594243454","350069","350069","350069","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","350069","350069","350069","1","1","1","0.9968019188486907","0.9968019188486907","0.9968019188486907","","","","","","","","",""
"360000","360071","360071","360071","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749","360071","360071","360071","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","360071","360071","360071","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","360071","360071","360071","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","360071","360071","360071","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","360071","360071","360071","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","360071","360071","360071","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","360071","360071","360071","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","360071","360071","360071","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886"
"370000","370073","370073","370073","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","370073","370073","370073","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","370073","370073","370073","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","370073","370073","370073","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","370073","370073","370073","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","370073","370073","370073","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","370073","370073","370073","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","370073","370073","370073","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","","","","","","","","","","370073","370073","370073","1","1","1","0.9978013192084749","0.9978013192084749","0.9978013192084749"
"380000","","","","","","","","","","380075","380075","380075","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","","","","","","","","","","380075","380075","380075","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","380075","380075","380075","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","380075","380075","380075","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","380075","380075","380075","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","380075","380075","380075","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","380075","380075","380075","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886"
"390000","390077","390077","390077","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","390077","390077","390077","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","","","","","","","","","","","","","","","","","","","390077","390077","390077","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","390077","390077","390077","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","390077","390077","390077","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","390077","390077","390077","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","390077","390077","390077","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159"
"400000","400079","400079","400079","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","400079","400079","400079","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","400079","400079","400079","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","400079","400079","400079","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","","","","","","","","","","400079","400079","400079","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9994003597841296","0.9994003597841296","0.9994003597841296","400079","400079","400079","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","400079","400079","400079","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","400079","400079","400079","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864"
"410000","410081","410081","410081","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","410081","410081","410081","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","410081","410081","410081","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","","","","","","","","","","410081","410081","410081","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","410081","410081","410081","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","410081","410081","410081","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","410081","410081","410081","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","410081","410081","410081","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864"
"420000","420083","420083","420083","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","420083","420083","420083","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","420083","420083","420083","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","420083","420083","420083","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","420083","420083","420083","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","420083","420083","420083","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","420083","420083","420083","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","420083","420083","420083","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","420083","420083","420083","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259"
"430000","430085","430085","430085","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","430085","430085","430085","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","430085","430085","430085","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","","","","","","","","","","430085","430085","430085","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","430085","430085","430085","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","430085","430085","430085","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","430085","430085","430085","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","430085","430085","430085","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022"
"440000","440087","440087","440087","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","440087","440087","440087","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","440087","440087","440087","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","","","","","","","","","","","","","","","","","","","","","","","","","","","","440087","440087","440087","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","440087","440087","440087","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","440087","440087","440087","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727"
"450000","450089","450089","450089","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","450089","450089","450089","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","450089","450089","450089","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","450089","450089","450089","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","450089","450089","450089","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","","","","","","","","","","450089","450089","450089","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","450089","450089","450089","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727"
"460000","460091","460091","460091","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","460091","460091","460091","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","460091","460091","460091","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","460091","460091","460091","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","460091","460091","460091","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","460091","460091","460091","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","460091","460091","460091","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","460091","460091","460091","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454"
"470000","470093","470093","470093","1","1","1","0.9980011992804317","0.9980011992804317","0.9980011992804317","470093","470093","470093","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","470093","470093","470093","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","470093","470093","470093","1","1","1","0.9982010793523886","0.9982010793523886","0.9982010793523886","470093","470093","470093","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","470093","470093","470093","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","470093","470093","470093","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","470093","470093","470093","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","470093","470093","470093","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","470093","470093","470093","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296"
"480000","480095","480095","480095","1","1","1","0.9976014391365181","0.9976014391365181","0.9976014391365181","480095","480095","480095","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","480095","480095","480095","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","480095","480095","480095","0.9998003194888179","0.9998003194888179","0.9998003194888179","1","1","1","480095","480095","480095","1","1","1","1","1","1","480095","480095","480095","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","480095","480095","480095","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","480095","480095","480095","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","480095","480095","480095","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","","","","","","","","",""
"490000","","","","","","","","","","490097","490097","490097","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","490097","490097","490097","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","490097","490097","490097","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","490097","490097","490097","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","490097","490097","490097","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","490097","490097","490097","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","490097","490097","490097","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","490097","490097","490097","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296"
"500000","500099","500099","500099","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","500099","500099","500099","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","500099","500099","500099","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","","","","","","","","","","","","","","","","","","","500099","500099","500099","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","500099","500099","500099","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"510000","510101","510101","510101","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","510101","510101","510101","1","1","1","0.9984009594243454","0.9984009594243454","0.9984009594243454","510101","510101","510101","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259","","","","","","","","","","510101","510101","510101","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","510101","510101","510101","1","1","1","0.9986008394963022","0.9986008394963022","0.9986008394963022","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"520000","520103","520103","520103","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","520103","520103","520103","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","520103","520103","520103","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","520103","520103","520103","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","","","","","","","","","","520103","520103","520103","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","520103","520103","520103","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","520103","520103","520103","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","520103","520103","520103","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432"
"530000","530105","530105","530105","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","530105","530105","530105","1","1","1","1","1","1","530105","530105","530105","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","530105","530105","530105","1","1","1","0.9994003597841296","0.9994003597841296","0.9994003597841296","530105","530105","530105","1","1","1","0.9996002398560864","0.9996002398560864","0.9996002398560864","530105","530105","530105","1","1","1","0.9998001199280432","0.9998001199280432","0.9998001199280432","530105","530105","530105","1","1","1","0.9992004797121727","0.9992004797121727","0.9992004797121727","530105","530105","530105","1","1","1","0.9990005996402159","0.9990005996402159","0.9990005996402159","","","","","","","","","","530105","530105","530105","1","1","1","0.998800719568259","0.998800719568259","0.998800719568259"
